,Primary Services:,,,,,,,,,List Price - Overrides,,,,Annual Minimums,,,,Final Selling Price,,,,Discounts/Uplifts Analysis,,,,Total ACV,SaaS ACV - No,SaaS ACV - Yes,MYR Avg ACV,OTF,YR1,TCV,,Total ACV,SaaS ACV,MYR Avg ACV,OTF,YR1,TCV,Customer Line Notes,,,,,,,,,,,Notes for Sales
,Product Name,One Time,Annual,Per Transaction,Price Method,Commitment,LPQ Discount Module,Multi Year Ramp,,One Time,Annual,Per Transaction,,Annual Amount,Annual Target,% of Target,,One Time Fees,Annual Fees,Transaction Fees,,One Time,Annual,Per Transaction,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,,,,,,,,No,,,,,,,,,,,,,,0,0,0,,0,0,0,,,0,0,,0,0,,,,0,,,,,,,,,,,,
,Total List Price - Add-On Services:,4800,0,,,,,,,,,,,,,,,4800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Selling Price - Add-On Services: ,4800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Deal List Price,4800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total Deal Selling Price: ,4800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Quote Deal Level Discounts by Charge Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,One Time Fees,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Fees,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overall Deal Financials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Based On,Total ACV,SaaS ACV,One Time Fees,YR1,TCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,List Price,25440,25440,4800,30240,30240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selling Price,30000,30000,4800,34800,34800,,,,<--- Enter Blue Values into your Opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Impact of Price Adjustments $,4560,4560,0,4560,4560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Impact of Price Adjustments %,0.1792452830188679,0.1792452830188679,0,0.15079365079365079,0.15079365079365079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Internal Notes for Win Desk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Customer Quote Special Terms/Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Customer Quote Ramps Calculator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,,Application Fee,Monthly Commitment,Monthly Minimums,ACV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average,,,,0,0,,,,<--- Enter Values into the Quote Builder as Unit Costs for the Applicable Ramped Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
