Product Family,Product Of (Primary Service),Primary Service Category,Product Vendor,Internal Product Name,Pricing Methodology,Proposal Product Name,LoansPQ Discount Module (Y/N),One Time Fee,NSItemID - OneTime,PRODUCT CODE-One-Time-Fee,Annual Fee,NSItemID-Annual,PRODUCT CODE-Annual Fee,Per Transaction Fee,NSItemID-Transaction,PRODUCT CODE-Transaction Fee,NSItemID-Overage,PRODUCT CODE-Overage,NSItemID-Commitment,PRODUCT CODE-Commitment,Managed Services ACV (Y/N),Monthly Minimum Commitment ($),Internal Notes for Sales,External Notes for Customer,Column2,Status
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,XpressAccounts Module (8000+  apps),App Commitment / Mon,XpressAccounts Module - Level 6,Y,42997,1453,CONS-0252,,,,2.54,6031,,6032.0,,6031.0,,N,20320.0,"** LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.  ** if you create an app commitment between levels, you must use the per application fee of the lower level.",,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Business Module (0-249 apps),App Commitment / Mon,Origination Platform - Business Module - Level 0,Y,11025,4288,CONS-0231,,,,22.05,5319,,5320.0,CONS-0009,5319.0,CONS-0018,N,0.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Business Module (250-499 apps),App Commitment / Mon,Origination Platform - Business Module - Level 1,Y,11025,4288,CONS-0231,,,,17.64,5319,CONS-0018,5320.0,CONS-0009,5319.0,CONS-0018,N,4410.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Business Module (500-999 apps),App Commitment / Mon,Origination Platform - Business Module - Level 2,Y,11025,4288,,,,,14.33,5319,CONS-0018,5320.0,CONS-0009,5319.0,CONS-0018,N,7165.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Business Module (1000-1999 apps),App Commitment / Mon,Origination Platform - Business Module - Level 3,Y,11025,4288,CONS-0231,,,,11.03,5319,,5320.0,,5319.0,CONS-0018,N,11030.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Home Equity Module (0-249 apps),App Commitment / Mon,Origination Platform - Home Equity Module - Level 0,Y,11025,1439,CONS-0220,,,,16.54,5321,,5322.0,CONS-0022,5321.0,CONS-0019,N,0.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Home Equity Module (250-499 apps),App Commitment / Mon,Origination Platform - Home Equity Module - Level 1,Y,11025,1439,CONS-0220,,,,13.23,5321,CONS-0019,5322.0,,5321.0,CONS-0019,N,3307.5,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Home Equity Module (500-999 apps),App Commitment / Mon,Origination Platform - Home Equity Module - Level 2,Y,11025,1439,CONS-0220,,,,9.92,5321,,5322.0,CONS-0022,5321.0,CONS-0019,N,4960.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Home Equity Module (1000-1999 apps),App Commitment / Mon,Origination Platform - Home Equity Module - Level 3,Y,11025,1439,CONS-0220,,,,7.72,5321,CONS-0019,5322.0,CONS-0022,5321.0,CONS-0019,N,7720.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
Origination - Consumer,LoansPQ/XpressAccounts,Primary Service,MeridianLink,LoansPQ - Indirect Lending Module (0-249 apps),App Commitment / Mon,Origination Platform - Indirect Lending Module - Level 0,Y,7938,2612,,,,,5.51,5280,CONS-0014,5281.0,CONS-0015,5280.0,CONS-0014,N,0.0,LPQ/XA Global Minimum $926 per month applies if customer makes no commitments on sub-modules.,,,
